season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2008,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2008,NYJ,B.Favre,00-0005106,16,1,17,1969-10-10,1991.0,ATL
2008,PHI,D.McNabb,00-0011022,16,1,17,1976-11-25,1999.0,PHI
2008,PIT,B.Roethlisberger,00-0022924,16,1,17,1982-03-02,2004.0,PIT
2008,SEA,S.Wallace,00-0022055,8,7,17,1980-08-06,2003.0,SEA
2008,SF,J.O'Sullivan,00-0021296,8,1,8,1979-08-25,2002.0,NO
2008,TB,J.Garcia,00-0005755,11,1,17,1970-02-24,,
2008,TEN,K.Collins,00-0003292,15,2,17,1972-12-30,1995.0,CAR
2008,WAS,J.Campbell,00-0023460,16,1,17,1981-12-31,2005.0,WAS
2009,ARI,K.Warner,00-0017200,15,1,17,1971-06-22,,
2009,ATL,M.Ryan,00-0026143,14,1,17,1985-05-17,2008.0,ATL
2009,BAL,J.Flacco,00-0026158,16,1,17,1985-01-16,2008.0,BAL
2009,BUF,R.Fitzpatrick,00-0023682,8,7,17,1982-11-24,2005.0,LA
2009,CAR,J.Delhomme,00-0004161,11,1,12,1975-01-10,,
2009,CHI,J.Cutler,00-0024226,16,1,17,1983-04-29,2006.0,DEN
2009,CIN,C.Palmer,00-0021429,16,1,17,1979-12-27,2003.0,CIN
2009,CLE,B.Quinn,00-0025409,9,1,15,1984-10-27,2007.0,CLE
2009,DAL,T.Romo,00-0021678,16,1,17,1980-04-21,,
2009,DEN,K.Orton,00-0023541,15,1,17,1982-11-14,2005.0,CHI
2009,DET,M.Stafford,00-0026498,10,1,13,1988-02-07,2009.0,DET
2009,GB,A.Rodgers,00-0023459,16,1,17,1983-12-02,2005.0,GB
2009,HOU,M.Schaub,00-0022787,16,1,17,1981-06-25,2004.0,ATL
2009,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2009,JAX,D.Garrard,00-0021231,16,1,17,1978-02-14,2002.0,JAX
2009,KC,M.Cassel,00-0023662,15,2,17,1982-05-17,2005.0,NE
2009,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2009,LAR,M.Bulger,00-0019599,8,1,11,1977-04-05,2000.0,NO
2009,LV,J.Russell,00-0025388,9,1,10,1985-08-09,2007.0,LV
2009,MIA,C.Henne,00-0026197,13,4,17,1985-07-02,2008.0,MIA
2009,MIN,B.Favre,00-0005106,16,1,17,1969-10-10,1991.0,ATL
2009,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2009,NO,D.Brees,00-0020531,15,1,16,1979-01-15,2001.0,LAC
2009,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2009,NYJ,M.Sanchez,00-0026898,15,1,17,1986-11-11,2009.0,NYJ
2009,PHI,D.McNabb,00-0011022,14,1,17,1976-11-25,1999.0,PHI
2009,PIT,B.Roethlisberger,00-0022924,15,1,17,1982-03-02,2004.0,PIT
2009,SEA,M.Hasselbeck,00-0007091,13,1,17,1975-09-25,1998.0,GB
2009,SF,A.Smith,00-0023436,10,8,17,1984-05-07,,
2009,TB,J.Freeman,00-0026993,9,9,17,1988-01-13,2009.0,TB
2009,TEN,V.Young,00-0024218,10,8,17,1983-05-18,2006.0,TEN
2009,WAS,J.Campbell,00-0023460,15,2,17,1981-12-31,2005.0,WAS
2010,ARI,D.Anderson,00-0023645,9,1,13,1983-06-15,2005.0,BAL
2010,ATL,M.Ryan,00-0026143,15,2,17,1985-05-17,2008.0,ATL
