season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2013,TEN,00-0023682,R.Fitzpatrick,10,5,True
2013,WAS,00-0029665,R.Griffin,13,1,True
2014,ARI,00-0025430,D.Stanton,8,2,True
2014,ATL,00-0026143,M.Ryan,16,1,True
2014,BAL,00-0026158,J.Flacco,18,1,True
2014,BUF,00-0023541,K.Orton,12,5,True
2014,CAR,00-0027939,C.Newton,16,2,True
2014,CHI,00-0024226,J.Cutler,15,1,True
2014,CIN,00-0027973,A.Dalton,17,1,True
2014,CLE,00-0026625,B.Hoyer,14,1,True
2014,DAL,00-0021678,T.Romo,17,1,True
2014,DEN,00-0010346,P.Manning,17,1,True
2014,DET,00-0026498,M.Stafford,17,1,True
2014,GB,00-0023459,A.Rodgers,18,1,True
2014,HOU,00-0023682,R.Fitzpatrick,11,1,True
2014,IND,00-0029668,A.Luck,17,1,True
2014,JAX,00-0031407,B.Bortles,14,3,True
2014,KC,00-0023436,A.Smith,15,1,True
2014,LA,00-0028957,A.Davis,9,1,True
2014,LAC,00-0022942,P.Rivers,16,1,True
2014,LV,00-0031280,D.Carr,16,1,True
2014,MIA,00-0029701,R.Tannehill,16,1,True
2014,MIN,00-0031237,T.Bridgewater,13,3,True
2014,NE,00-0019596,T.Brady,18,1,True
2014,NO,00-0020531,D.Brees,16,1,True
2014,NYG,00-0022803,E.Manning,16,1,True
2014,NYJ,00-0030565,G.Smith,11,1,True
2014,PHI,00-0026898,M.Sanchez,9,9,True
2014,PIT,00-0022924,B.Roethlisberger,17,1,True
2014,SEA,00-0029263,R.Wilson,19,1,True
2014,SF,00-0027974,C.Kaepernick,16,1,True
2014,TB,00-0021206,J.McCown,10,1,True
2014,TEN,00-0024296,C.Whitehurst,7,4,True
2014,WAS,00-0029665,R.Griffin,7,1,True
2015,ARI,00-0021429,C.Palmer,18,1,True
2015,ATL,00-0026143,M.Ryan,16,1,True
2015,BAL,00-0026158,J.Flacco,10,1,True
2015,BUF,00-0028118,T.Taylor,14,1,True
2015,CAR,00-0027939,C.Newton,19,1,True
2015,CHI,00-0024226,J.Cutler,14,1,True
2015,CIN,00-0027973,A.Dalton,12,1,True
2015,CLE,00-0031409,J.Manziel,7,1,True
2015,DAL,00-0023662,M.Cassel,6,7,True
2015,DEN,00-0010346,P.Manning,11,1,True
2015,DET,00-0026498,M.Stafford,15,1,True
2015,GB,00-0023459,A.Rodgers,18,1,True
2015,HOU,00-0026625,B.Hoyer,12,1,True
2015,IND,00-0007091,M.Hasselbeck,8,4,True
2015,JAX,00-0031407,B.Bortles,16,1,True
2015,KC,00-0023436,A.Smith,18,1,True
2015,LA,00-0029567,N.Foles,11,1,True
2015,LAC,00-0022942,P.Rivers,16,1,True
2015,LV,00-0031280,D.Carr,15,2,True
2015,MIA,00-0029701,R.Tannehill,16,1,True
2015,MIN,00-0031237,T.Bridgewater,17,1,True
2015,NE,00-0019596,T.Brady,18,1,True
2015,NO,00-0020531,D.Brees,15,1,True
2015,NYG,00-0022803,E.Manning,16,1,True
2015,NYJ,00-0023682,R.Fitzpatrick,15,1,True
2015,PHI,00-0027854,S.Bradford,14,1,True
2015,PIT,00-0022924,B.Roethlisberger,14,1,True
2015,SEA,00-0029263,R.Wilson,18,1,True
2015,SF,00-0027974,C.Kaepernick,8,1,True
2015,TB,00-0031503,J.Winston,16,1,True
2015,TEN,00-0032268,M.Mariota,11,1,True
2015,WAS,00-0029604,K.Cousins,17,1,True
2016,ARI,00-0021429,C.Palmer,15,1,True
2016,ATL,00-0026143,M.Ryan,19,1,True
2016,BAL,00-0026158,J.Flacco,16,1,True
2016,BUF,00-0028118,T.Taylor,15,1,True
2016,CAR,00-0027939,C.Newton,15,1,True
2016,CHI,00-0030533,M.Barkley,7,7,True
2016,CIN,00-0027973,A.Dalton,16,1,True
2016,CLE,00-0029665,R.Griffin,5,1,True
2016,DAL,00-0033077,D.Prescott,16,1,True
2016,DEN,00-0032156,T.Siemian,13,1,True
2016,DET,00-0026498,M.Stafford,17,1,True
2016,GB,00-0023459,A.Rodgers,19,1,True
2016,HOU,00-0029682,B.Osweiler,16,1,True
2016,IND,00-0029668,A.Luck,15,1,True
2016,JAX,00-0031407,B.Bortles,16,1,True
2016,KC,00-0023436,A.Smith,15,1,True
2016,LA,00-0028986,C.Keenum,9,1,True
2016,LAC,00-0022942,P.Rivers,16,1,True
2016,LV,00-0031280,D.Carr,15,1,True
2016,MIA,00-0029701,R.Tannehill,13,1,True
2016,MIN,00-0027854,S.Bradford,15,2,True
2016,NE,00-0019596,T.Brady,15,5,True
2016,NO,00-0020531,D.Brees,16,1,True
2016,NYG,00-0022803,E.Manning,17,1,True
2016,NYJ,00-0023682,R.Fitzpatrick,12,1,True
2016,PHI,00-0032950,C.Wentz,16,1,True
2016,PIT,00-0022924,B.Roethlisberger,17,1,True
2016,SEA,00-0029263,R.Wilson,18,1,True
2016,SF,00-0027974,C.Kaepernick,11,6,True
2016,TB,00-0031503,J.Winston,16,1,True
2016,TEN,00-0032268,M.Mariota,15,1,True
2016,WAS,00-0029604,K.Cousins,16,1,True
2017,ARI,00-0021429,C.Palmer,7,1,True
2017,ATL,00-0026143,M.Ryan,18,1,True
2017,BAL,00-0026158,J.Flacco,16,1,True
2017,BUF,00-0028118,T.Taylor,16,1,True
2017,CAR,00-0027939,C.Newton,17,1,True
2017,CHI,00-0033869,M.Trubisky,12,5,True
2017,CIN,00-0027973,A.Dalton,16,1,True
2017,CLE,00-0033899,D.Kizer,15,1,True
2017,DAL,00-0033077,D.Prescott,16,1,True
2017,DEN,00-0032156,T.Siemian,10,1,True
2017,DET,00-0026498,M.Stafford,16,1,True
2017,GB,00-0031589,B.Hundley,10,6,True
2017,HOU,00-0033537,D.Watson,7,1,True
2017,IND,00-0033119,J.Brissett,15,2,True
2017,JAX,00-0031407,B.Bortles,19,1,True
2017,KC,00-0023436,A.Smith,16,1,True
2017,LA,00-0033106,J.Goff,16,1,True
2017,LAC,00-0022942,P.Rivers,16,1,True
2017,LV,00-0031280,D.Carr,15,1,True
2017,MIA,00-0024226,J.Cutler,11,2,True
2017,MIN,00-0028986,C.Keenum,17,2,True
2017,NE,00-0019596,T.Brady,19,1,True
2017,NO,00-0020531,D.Brees,18,1,True
2017,NYG,00-0022803,E.Manning,15,1,True
2017,NYJ,00-0021206,J.McCown,13,1,True
2017,PHI,00-0032950,C.Wentz,13,1,True
2017,PIT,00-0022924,B.Roethlisberger,16,1,True
2017,SEA,00-0029263,R.Wilson,16,1,True
2017,SF,00-0033936,C.Beathard,6,6,True
