season,posteam,qb_id,qb_name,games,plays,actual_pass_rate,expected_pass_rate,proe
2022,ARI,00-0035040,D.Blough,2,102,0.621870882740448,0.6119563730141548,0.9914509726293159
2022,CAR,00-0034855,B.Mayfield,6,316,0.6608839160815118,0.651140572875597,0.9743343205914802
2022,LA,00-0026498,M.Stafford,9,514,0.6398746750653923,0.6343003318803517,0.5574343185040507
2022,NYJ,00-0034401,M.White,4,272,0.6713152985074627,0.6669217571508804,0.43935413565822207
2022,NE,00-0036972,M.Jones,14,769,0.6424649447520591,0.638463969933573,0.4000974818486183
2022,JAX,00-0036971,T.Lawrence,19,1156,0.6207390748872217,0.620102205624326,0.06368692628955505
2022,ARI,00-0035228,K.Murray,11,667,0.6473503424173672,0.6534260804886671,-0.6075738071299939
2022,BAL,00-0034796,L.Jackson,12,676,0.5659126781175128,0.573112675569828,-0.7199997452315176
2022,ARI,00-0035146,T.McSorley,1,71,0.6619718309859155,0.6731299776846255,-1.1158146698709945
2022,DEN,00-0029263,R.Wilson,15,894,0.6328830953467511,0.6463508906802001,-1.3467795333449042
2022,NYJ,00-0026158,J.Flacco,4,266,0.7242168492168493,0.7384790092973108,-1.4262160080461557
2022,DET,00-0033106,J.Goff,17,1052,0.583510939541953,0.6010663365113968,-1.7555396969443986
2022,HOU,00-0032436,J.Driskel,1,13,0.46153846153846156,0.48050794234642613,-1.8969480807964618
2022,PHI,00-0036389,J.Hurts,18,1160,0.5490684014415018,0.5714499946896834,-2.2381593248181506
2022,SF,00-0031345,J.Garoppolo,10,521,0.5754597198441117,0.598308839160631,-2.2849119316519277
2022,NO,00-0031503,J.Winston,3,183,0.6834280303030303,0.7064216368662363,-2.2993606563205975
2022,DEN,00-0034955,B.Rypien,2,139,0.5781704781704782,0.6026252654216517,-2.445478725117358
2022,IND,00-0026143,M.Ryan,12,799,0.6346983021719188,0.6592442206039671,-2.45459184320483
2022,NE,00-0038108,B.Zappe,2,113,0.4908805031446541,0.5199761840426977,-2.909568089804372
2022,MIA,00-0037327,S.Thompson,4,213,0.6201000690131124,0.6500103739945744,-2.9910304981461886
2022,WAS,00-0032950,C.Wentz,7,458,0.6376604148357524,0.6736032642397431,-3.5942849403990857
2022,PHI,00-0035289,G.Minshew,2,121,0.6599611542730299,0.6959480294806843,-3.598687520765438
2022,GB,00-0023459,A.Rodgers,17,996,0.5796836955167277,0.6185199314987146,-3.8836235981986857
2022,LV,00-0031280,D.Carr,15,878,0.6157038039549799,0.6555897974812759,-3.988599352629588
