season,posteam,qb_id,qb_name,plays,games,called_pass_rate,expected_pass_rate,proe
2021,KC,00-0033873,P.Mahomes,1270,20,0.6779527559055119,0.5783648322578373,10.037532522247767
2021,LA,00-0026498,M.Stafford,1264,21,0.615506329113924,0.5950712329985078,2.2017374596428834
2021,LAC,00-0036355,J.Herbert,1098,17,0.6666666666666666,0.6273140522680213,3.9352614398645356
2021,LV,00-0031280,D.Carr,1116,18,0.6451612903225806,0.6258383159488974,2.021903172135353
2021,MIA,00-0036212,T.Tagovailoa,686,11,0.5816326530612245,0.5885316019785474,-0.5441222969801016
2021,MIN,00-0029604,K.Cousins,991,16,0.5973763874873865,0.6239348472322513,-2.655845974486483
2021,NE,00-0036972,M.Jones,1049,18,0.5691134413727359,0.6280208084345205,-5.795407821526405
2021,NO,00-0031503,J.Winston,330,6,0.5303030303030303,0.5780579363757914,-4.775490607276107
2021,NYG,00-0035710,D.Jones,583,10,0.6569468267581475,0.6194712747380419,3.7475552020105654
2021,NYJ,00-0037013,Z.Wilson,681,12,0.6284875183553598,0.6458879872997908,-1.7400468944431051
2021,PHI,00-0036389,J.Hurts,955,16,0.5696335078534032,0.6190820942979053,-4.9448586444502105
2021,PIT,00-0022924,B.Roethlisberger,1049,17,0.6444232602478551,0.6548435517433175,-0.9467002648941896
2021,SEA,00-0029263,R.Wilson,744,14,0.6021505376344086,0.6182250717594739,-1.4730448103559914
2021,SF,00-0031345,J.Garoppolo,978,17,0.5306748466257669,0.6049225783482164,-7.322523683492391
2021,TB,00-0019596,T.Brady,1224,19,0.6862745098039216,0.6108423739464747,7.788311624960377
2021,TEN,00-0029701,R.Tannehill,1146,18,0.5331588132635253,0.617880381855067,-8.472156859154165
2021,WAS,00-0031800,T.Heinicke,950,16,0.5936842105263158,0.6199091762735656,-2.5172334168302384
2022,ARI,00-0035228,K.Murray,664,10,0.6490963855421686,0.6814150652982833,-3.231867975611464
2022,ATL,00-0032268,M.Mariota,718,13,0.47493036211699163,0.6130312684959729,-13.670814871881417
2022,BAL,00-0034796,L.Jackson,666,11,0.5495495495495496,0.5654184585632952,-1.4367407512244161
2022,BUF,00-0034857,J.Allen,1117,18,0.6606982990152194,0.6010771685862712,6.051638557666524
2022,CAR,00-0034855,B.Mayfield,347,7,0.6570605187319885,0.6534146601790481,0.3645858552940297
2022,CHI,00-0036945,J.Fields,857,15,0.5052508751458576,0.6495209081943909,-14.193631076148538
2022,CIN,00-0036442,J.Burrow,1182,19,0.6641285956006768,0.5833462931045572,8.162832618478289
2022,CLE,00-0033119,J.Brissett,725,11,0.5613793103448276,0.6380740385040127,-7.669472815918511
2022,DAL,00-0033077,D.Prescott,901,14,0.5538290788013318,0.606701212043106,-5.287213324177411
2022,DEN,00-0029263,R.Wilson,894,15,0.6297539149888143,0.6430650230234601,-1.1073971569321432
2022,DET,00-0033106,J.Goff,1052,17,0.5846007604562737,0.6001693848485106,-1.556862439223682
2022,GB,00-0023459,A.Rodgers,996,17,0.5793172690763052,0.6181355389022085,-3.881826982590329
2022,HOU,00-0036898,D.Mills,842,15,0.6211401425178147,0.659669478510168,-3.7341687536296257
2022,IND,00-0026143,M.Ryan,799,12,0.6320400500625782,0.6566052979443489,-2.456524788177058
2022,JAX,00-0036971,T.Lawrence,1156,19,0.6185121107266436,0.618651993827295,0.07251688024628533
2022,KC,00-0033873,P.Mahomes,1228,20,0.6644951140065146,0.5590441212610187,10.870832173572397
2022,LA,00-0026498,M.Stafford,514,9,0.6478599221789884,0.6386093775078596,1.119606996295749
2022,LAC,00-0036355,J.Herbert,1164,18,0.6821305841924399,0.6349864008730834,4.8003289848566055
2022,LV,00-0031280,D.Carr,878,15,0.6093394077448747,0.6529418913762092,-4.246353146732532
2022,MIA,00-0036212,T.Tagovailoa,638,12,0.6426332288401254,0.5955441135673734,4.708911527275198
2022,MIN,00-0029604,K.Cousins,1078,18,0.6725417439703154,0.6418399444689666,3.0701799501348734
2022,NE,00-0036972,M.Jones,751,13,0.6391478029294274,0.6354211425922126,0.5058218259984422
2022,NO,00-0027973,A.Dalton,769,14,0.5344603381014305,0.6186754312172474,-8.291470299878185
2022,NYG,00-0035710,D.Jones,1076,18,0.5892193308550185,0.6331614186350243,-4.394208778000565
2022,NYJ,00-0037013,Z.Wilson,469,9,0.5884861407249466,0.6324931736360354,-4.400703291108868
2022,PHI,00-0036389,J.Hurts,1160,18,0.5413793103448276,0.5700719171235787,-2.696846884771668
2022,PIT,00-0038102,K.Pickett,713,11,0.5848527349228612,0.6208806729040841,-3.602793798122299
2022,SEA,00-0030565,G.Smith,1074,18,0.6294227188081937,0.6182976193341047,1.205619817055082
2022,SF,00-0031345,J.Garoppolo,565,10,0.5610619469026549,0.586765840530923,-2.3933982123843336
2022,TB,00-0019596,T.Brady,1184,18,0.691722972972973,0.6408687708962306,5.085420207674238
2022,TEN,00-0029701,R.Tannehill,631,12,0.5752773375594294,0.6279280492106066,-4.948113954341166
2022,WAS,00-0031800,T.Heinicke,581,9,0.49225473321858865,0.6025866541543433,-10.861075053988554
2023,ARI,00-0033949,J.Dobbs,489,8,0.5991820040899796,0.6604290881969325,-6.124708410695287
2023,ATL,00-0038122,D.Ridder,740,12,0.5445945945945946,0.6529494252710326,-10.700347932508668
2023,BAL,00-0034796,L.Jackson,1095,18,0.5707762557077626,0.573306935226128,-0.16174375092330046
2023,BUF,00-0034857,J.Allen,1218,19,0.5870279146141215,0.589556288059758,-0.08863373208417877
2023,CAR,00-0039150,B.Young,1004,16,0.6095617529880478,0.6736539013505695,-6.409214836252163
2023,CHI,00-0036945,J.Fields,783,13,0.5747126436781609,0.6124616892149584,-3.774904553679747
2023,CIN,00-0036442,J.Burrow,539,9,0.7031539888682746,0.607934149213702,9.52198396545726
2023,CLE,00-0026158,J.Flacco,397,6,0.6574307304785895,0.6163046563640049,4.11260741145845
2023,DAL,00-0033077,D.Prescott,1126,18,0.6349911190053286,0.6095155557323095,2.6363662740159417
2023,DEN,00-0029263,R.Wilson,859,15,0.5983701979045402,0.6442447661598917,-4.58745682553515
2023,DET,00-0033106,J.Goff,1283,20,0.5814497272018706,0.608803555253234,-2.7353828051363407
2023,GB,00-0036264,J.Love,1138,19,0.6001757469244289,0.5995454239840693,0.1509057562503643
2023,HOU,00-0039163,C.Stroud,988,17,0.6062753036437247,0.622455890429949,-1.6180586786224291
2023,IND,00-0035289,G.Minshew,909,15,0.5885588558855885,0.6223849360928415,-3.272597019625182
2023,JAX,00-0036971,T.Lawrence,985,16,0.6406091370558376,0.6119917190279149,2.9632646454318525
2023,KC,00-0033873,P.Mahomes,1224,20,0.6740196078431373,0.6074122124552435,6.824138231599838
2023,LA,00-0026498,M.Stafford,985,16,0.5989847715736041,0.6093723947343034,-0.9372394734303359
2023,LAC,00-0036355,J.Herbert,746,12,0.6528150134048257,0.6292481558052848,2.4907340173267487
2023,LV,00-0038579,A.O'Connell,587,10,0.5979557069846678,0.6203692642308682,-2.2413557246200475
