player_norm,team,season,age_at_bench
T.Bridgewater,CAR,2020,27.84120465434634
T.Bridgewater,DEN,2021,28.83778234086242
T.Bridgewater,MIN,2015,22.84188911704312
T.Couch,CLE,2002,3.0444900752908968
T.DeVito,NYG,2023,25.22655715263518
T.Edwards,BUF,2007,11.1129363449692
T.Edwards,BUF,2007,6.30527036276523
T.Edwards,BUF,2008,12.071184120465434
T.Edwards,BUF,2008,7.263518138261465
T.Edwards,BUF,2008,7.2470910335386725
T.Green,KC,2005,10.494182067077345
T.Heinicke,WAS,2022,29.607118412046542
T.Jackson,MIN,2007,21.259411362080765
T.Jackson,MIN,2007,9.215605749486652
T.Jackson,MIN,2007,8.936344969199178
T.Jackson,MIN,2007,9.503080082135524
T.Jackson,MIN,2007,9.83709787816564
T.Jackson,SEA,2011,25.26488706365503
T.Jackson,SEA,2011,13.221081451060916
T.Jackson,SEA,2011,12.941820670773442
T.Jackson,SEA,2011,13.508555783709788
T.Jackson,SEA,2011,13.842573579739904
T.Lawrence,JAX,2024,24.92539356605065
T.Pryor,LV,2013,24.21902806297057
T.Siemian,DEN,2017,25.711156741957563
T.Tagovailoa,MIA,2024,26.521560574948666
T.Taylor,BUF,2015,20.53388090349076
T.Taylor,BUF,2015,18.17659137577002
T.Taylor,BUF,2015,21.371663244353183
T.Taylor,BUF,2015,14.617385352498289
T.Taylor,BUF,2016,21.530458590006845
T.Taylor,BUF,2016,19.173169062286107
T.Taylor,BUF,2016,22.368240930869266
T.Taylor,BUF,2016,15.613963039014374
T.Taylor,BUF,2017,22.527036276522928
T.Taylor,BUF,2017,20.16974674880219
T.Taylor,BUF,2017,23.364818617385353
T.Taylor,BUF,2017,16.61054072553046
T.Taylor,BUF,2017,28.10403832991102
T.Tebow,DEN,2011,24.191649555099247
W.Levis,TEN,2024,25.201916495550993
Z.Wilson,NYJ,2023,24.10677618069815
