season,team,qb_name,first_playoff_game,game_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2010,GB,A.Rodgers,2010_18_GB_PHI,2011-01-09,A.Rodgers,GB,2005.0,GB,True
2010,IND,P.Manning,2010_18_NYJ_IND,2011-01-08,P.Manning,IND,1998.0,IND,True
2010,KC,M.Cassel,2010_18_BAL_KC,2011-01-09,M.Cassel,NE,2005.0,KC,False
2010,NE,T.Brady,2010_19_NYJ_NE,2011-01-16,T.Brady,NE,2000.0,NE,True
2010,NO,D.Brees,2010_18_NO_SEA,2011-01-08,D.Brees,LAC,2001.0,NO,False
2010,NYJ,M.Sanchez,2010_18_NYJ_IND,2011-01-08,M.Sanchez,NYJ,2009.0,NYJ,True
2010,PHI,M.Vick,2010_18_GB_PHI,2011-01-09,M.Vick,ATL,2001.0,PHI,False
2010,PIT,B.Roethlisberger,2010_19_BAL_PIT,2011-01-15,B.Roethlisberger,PIT,2004.0,PIT,True
2010,SEA,M.Hasselbeck,2010_18_NO_SEA,2011-01-08,M.Hasselbeck,GB,1998.0,SEA,False
2011,ATL,M.Ryan,2011_18_ATL_NYG,2012-01-08,M.Ryan,ATL,2008.0,ATL,True
2011,BAL,J.Flacco,2011_19_HOU_BAL,2012-01-15,J.Flacco,BAL,2008.0,BAL,True
2011,CIN,A.Dalton,2011_18_CIN_HOU,2012-01-07,A.Dalton,CIN,2011.0,CIN,True
2011,DEN,T.Tebow,2011_18_PIT_DEN,2012-01-08,T.Tebow,DEN,2010.0,DEN,True
2011,DET,M.Stafford,2011_18_DET_NO,2012-01-07,M.Stafford,DET,2009.0,DET,True
2011,GB,A.Rodgers,2011_19_NYG_GB,2012-01-15,A.Rodgers,GB,2005.0,GB,True
2011,HOU,T.Yates,2011_18_CIN_HOU,2012-01-07,T.Yates,HOU,2011.0,HOU,True
2011,NE,T.Brady,2011_19_DEN_NE,2012-01-14,T.Brady,NE,2000.0,NE,True
2011,NO,D.Brees,2011_18_DET_NO,2012-01-07,D.Brees,LAC,2001.0,NO,False
2011,NYG,E.Manning,2011_18_ATL_NYG,2012-01-08,E.Manning,LAC,2004.0,NYG,False
2011,PIT,B.Roethlisberger,2011_18_PIT_DEN,2012-01-08,B.Roethlisberger,PIT,2004.0,PIT,True
2011,SF,A.Smith,2011_19_NO_SF,2012-01-14,A.Smith,SF,2005.0,SF,True
2012,ATL,M.Ryan,2012_19_SEA_ATL,2013-01-13,M.Ryan,ATL,2008.0,ATL,True
2012,BAL,J.Flacco,2012_18_IND_BAL,2013-01-06,J.Flacco,BAL,2008.0,BAL,True
2012,CIN,A.Dalton,2012_18_CIN_HOU,2013-01-05,A.Dalton,CIN,2011.0,CIN,True
