team,qb_name,first_season,last_season,tenure_len,first_bench_season,replaced_by,age_at_first_start,age_at_first_bench
TB,B.Mayfield,2023,2024,2,,,28.5,
TEN,S.McNair,2000,2003,4,2004.0,B.Volek,27.67,31.67
TEN,B.Volek,2004,2004,1,2005.0,S.McNair,28.47,29.46
TEN,S.McNair,2005,2005,1,2006.0,V.Young,27.67,33.66
TEN,V.Young,2006,2007,2,2008.0,K.Collins,23.41,25.41
TEN,K.Collins,2008,2008,1,2009.0,V.Young,35.79,36.79
TEN,V.Young,2009,2009,1,2010.0,K.Collins,23.41,27.41
TEN,K.Collins,2010,2010,1,2011.0,M.Hasselbeck,35.79,38.79
TEN,M.Hasselbeck,2011,2011,1,2012.0,J.Locker,36.05,37.06
TEN,J.Locker,2012,2012,1,2013.0,R.Fitzpatrick,24.33,25.33
TEN,R.Fitzpatrick,2013,2013,1,2014.0,C.Whitehurst,30.89,31.89
TEN,C.Whitehurst,2014,2014,1,2015.0,M.Mariota,32.19,33.19
TEN,M.Mariota,2015,2018,4,2019.0,R.Tannehill,21.96,25.96
TEN,R.Tannehill,2019,2023,5,2024.0,W.Levis,31.22,36.22
TEN,W.Levis,2024,2024,1,,,25.3,
WAS,B.Johnson,2000,2000,1,2001.0,T.Banks,32.09,33.09
WAS,T.Banks,2001,2001,1,2002.0,S.Matthews,28.53,29.53
WAS,S.Matthews,2002,2002,1,2003.0,P.Ramsey,32.37,33.37
WAS,P.Ramsey,2003,2004,2,2005.0,M.Brunell,24.67,26.67
WAS,M.Brunell,2005,2006,2,2007.0,J.Campbell,35.08,37.08
WAS,J.Campbell,2007,2009,3,2010.0,D.McNabb,25.79,28.79
WAS,D.McNabb,2010,2010,1,2011.0,R.Grossman,33.89,34.89
WAS,R.Grossman,2011,2011,1,2012.0,R.Griffin,31.14,32.15
WAS,R.Griffin,2012,2014,3,2015.0,K.Cousins,22.67,25.67
WAS,K.Cousins,2015,2017,3,2018.0,A.Smith,27.15,30.15
WAS,A.Smith,2018,2018,1,2019.0,C.Keenum,34.44,35.44
WAS,C.Keenum,2019,2019,1,2020.0,A.Smith,31.66,32.66
WAS,A.Smith,2020,2020,1,2021.0,T.Heinicke,34.44,37.44
WAS,T.Heinicke,2021,2022,2,2023.0,S.Howell,28.59,30.58
WAS,S.Howell,2023,2023,1,2024.0,J.Daniels,23.08,24.08
WAS,J.Daniels,2024,2024,1,,,23.82,
