season,team,qb_name,starts,first_start_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2006,DEN,J.Plummer,11,2006-09-10,J.Plummer,ARI,1997.0,DEN,False
2006,DET,J.Kitna,16,2006-09-10,J.Kitna,,,DET,False
2006,GB,B.Favre,16,2006-09-10,B.Favre,ATL,1991.0,GB,False
2006,HOU,D.Carr,15,2006-09-10,D.Carr,LV,2014.0,HOU,False
2006,IND,P.Manning,16,2006-09-10,P.Manning,IND,1998.0,IND,True
2006,JAX,D.Garrard,9,2006-10-29,D.Garrard,JAX,2002.0,JAX,True
2006,KC,D.Huard,9,2006-09-10,D.Huard,,,KC,False
2006,LA,M.Bulger,16,2006-09-10,M.Bulger,NO,2000.0,LAR,False
2006,LAC,P.Rivers,16,2006-09-11,P.Rivers,NYG,2004.0,LAC,False
2006,LV,A.Walter,9,2006-09-17,A.Walter,LV,2005.0,LV,True
2006,MIA,J.Harrington,10,2006-10-08,J.Harrington,DET,2002.0,MIA,False
2006,MIN,B.Johnson,13,2006-09-11,B.Johnson,MIN,1992.0,MIN,True
2006,NE,T.Brady,16,2006-09-10,T.Brady,NE,2000.0,NE,True
2006,NO,D.Brees,15,2006-09-10,D.Brees,LAC,2001.0,NO,False
2006,NYG,E.Manning,16,2006-09-10,E.Manning,LAC,2004.0,NYG,False
2006,NYJ,C.Pennington,16,2006-09-10,C.Pennington,NYJ,2000.0,NYJ,True
2006,PHI,D.McNabb,9,2006-09-10,D.McNabb,PHI,1999.0,PHI,True
2006,PIT,B.Roethlisberger,15,2006-09-18,B.Roethlisberger,PIT,2004.0,PIT,True
2006,SEA,M.Hasselbeck,11,2006-09-10,M.Hasselbeck,GB,1998.0,SEA,False
2006,SF,A.Smith,16,2006-09-10,A.Smith,SF,2005.0,SF,True
2006,TB,B.Gradkowski,10,2006-10-08,B.Gradkowski,TB,2006.0,TB,True
2006,TEN,V.Young,14,2006-09-17,V.Young,TEN,2006.0,TEN,True
2006,WAS,M.Brunell,9,2006-09-11,M.Brunell,GB,1993.0,WAS,False
2007,ARI,K.Warner,12,2007-09-30,K.Warner,,,ARI,False
2007,ATL,J.Harrington,10,2007-09-09,J.Harrington,DET,2002.0,ATL,False
2007,BAL,K.Boller,8,2007-09-16,K.Boller,BAL,2003.0,BAL,True
2007,BUF,T.Edwards,10,2007-09-23,T.Edwards,BUF,2007.0,BUF,True
2007,CAR,D.Carr,5,2007-09-30,D.Carr,LV,2014.0,CAR,False
2007,CHI,R.Grossman,7,2007-09-09,R.Grossman,CHI,2003.0,CHI,True
2007,CIN,C.Palmer,16,2007-09-10,C.Palmer,CIN,2003.0,CIN,True
2007,CLE,D.Anderson,16,2007-09-09,D.Anderson,BAL,2005.0,CLE,False
2007,DAL,T.Romo,16,2007-09-09,T.Romo,,,DAL,False
2007,DEN,J.Cutler,15,2007-09-09,J.Cutler,DEN,2006.0,DEN,True
2007,DET,J.Kitna,16,2007-09-09,J.Kitna,,,DET,False
2007,GB,B.Favre,14,2007-09-09,B.Favre,ATL,1991.0,GB,False
2007,HOU,M.Schaub,8,2007-09-09,M.Schaub,ATL,2004.0,HOU,False
2007,IND,P.Manning,15,2007-09-06,P.Manning,IND,1998.0,IND,True
2007,JAX,D.Garrard,11,2007-09-09,D.Garrard,JAX,2002.0,JAX,True
2007,KC,D.Huard,10,2007-09-09,D.Huard,,,KC,False
2007,LA,M.Bulger,11,2007-09-09,M.Bulger,NO,2000.0,LAR,False
2007,LAC,P.Rivers,16,2007-09-09,P.Rivers,NYG,2004.0,LAC,False
2007,LV,J.McCown,7,2007-09-09,J.McCown,ARI,2002.0,LV,False
2007,MIA,C.Lemon,8,2007-10-07,C.Lemon,,,MIA,False
2007,MIN,T.Jackson,12,2007-09-09,T.Jackson,MIN,2006.0,MIN,True
2007,NE,T.Brady,16,2007-09-09,T.Brady,NE,2000.0,NE,True
2007,NO,D.Brees,16,2007-09-06,D.Brees,LAC,2001.0,NO,False
2007,NYG,E.Manning,16,2007-09-09,E.Manning,LAC,2004.0,NYG,False
2007,NYJ,C.Pennington,9,2007-09-09,C.Pennington,NYJ,2000.0,NYJ,True
2007,PHI,D.McNabb,13,2007-09-09,D.McNabb,PHI,1999.0,PHI,True
2007,PIT,B.Roethlisberger,15,2007-09-09,B.Roethlisberger,PIT,2004.0,PIT,True
2007,SEA,M.Hasselbeck,16,2007-09-09,M.Hasselbeck,GB,1998.0,SEA,False
2007,SF,A.Smith,6,2007-09-10,A.Smith,SF,2005.0,SF,True
2007,TB,J.Garcia,11,2007-09-09,J.Garcia,,,TB,False
2007,TEN,V.Young,14,2007-09-09,V.Young,TEN,2006.0,TEN,True
2007,WAS,J.Campbell,12,2007-09-09,J.Campbell,WAS,2005.0,WAS,True
2008,ARI,K.Warner,16,2008-09-07,K.Warner,,,ARI,False
2008,ATL,M.Ryan,16,2008-09-07,M.Ryan,ATL,2008.0,ATL,True
2008,BAL,J.Flacco,16,2008-09-07,J.Flacco,BAL,2008.0,BAL,True
2008,BUF,T.Edwards,13,2008-09-07,T.Edwards,BUF,2007.0,BUF,True
2008,CAR,J.Delhomme,16,2008-09-07,J.Delhomme,,,CAR,False
2008,CHI,K.Orton,14,2008-09-07,K.Orton,CHI,2005.0,CHI,True
2008,CIN,R.Fitzpatrick,12,2008-09-28,R.Fitzpatrick,LAR,2005.0,CIN,False
2008,CLE,D.Anderson,9,2008-09-07,D.Anderson,BAL,2005.0,CLE,False
2008,DAL,T.Romo,13,2008-09-07,T.Romo,,,DAL,False
2008,DEN,J.Cutler,16,2008-09-08,J.Cutler,DEN,2006.0,DEN,True
2008,DET,D.Orlovsky,8,2008-10-05,D.Orlovsky,DET,2005.0,DET,True
2008,GB,A.Rodgers,16,2008-09-08,A.Rodgers,GB,2005.0,GB,True
2008,HOU,M.Schaub,10,2008-09-07,M.Schaub,ATL,2004.0,HOU,False
2008,IND,P.Manning,15,2008-09-07,P.Manning,IND,1998.0,IND,True
2008,JAX,D.Garrard,16,2008-09-07,D.Garrard,JAX,2002.0,JAX,True
2008,KC,T.Thigpen,12,2008-09-14,T.Thigpen,,,KC,False
2008,LA,M.Bulger,14,2008-09-07,M.Bulger,NO,2000.0,LAR,False
2008,LAC,P.Rivers,16,2008-09-07,P.Rivers,NYG,2004.0,LAC,False
2008,LV,J.Russell,14,2008-09-08,J.Russell,LV,2007.0,LV,True
2008,MIA,C.Pennington,16,2008-09-07,C.Pennington,NYJ,2000.0,MIA,False
2008,MIN,G.Frerotte,10,2008-09-21,G.Frerotte,WAS,1994.0,MIN,False
2008,NE,M.Cassel,16,2008-09-07,M.Cassel,NE,2005.0,NE,True
2008,NO,D.Brees,16,2008-09-07,D.Brees,LAC,2001.0,NO,False
2008,NYG,E.Manning,16,2008-09-04,E.Manning,LAC,2004.0,NYG,False
2008,NYJ,B.Favre,16,2008-09-07,B.Favre,ATL,1991.0,NYJ,False
2008,PHI,D.McNabb,15,2008-09-07,D.McNabb,PHI,1999.0,PHI,True
2008,PIT,B.Roethlisberger,16,2008-09-07,B.Roethlisberger,PIT,2004.0,PIT,True
2008,SEA,S.Wallace,8,2008-10-19,S.Wallace,SEA,2003.0,SEA,True
2008,SF,S.Hill,9,2008-10-26,S.Hill,,,SF,False
2008,TB,J.Garcia,11,2008-09-07,J.Garcia,,,TB,False
2008,TEN,K.Collins,14,2008-09-14,K.Collins,CAR,1995.0,TEN,False
2008,WAS,J.Campbell,16,2008-09-04,J.Campbell,WAS,2005.0,WAS,True
2009,ARI,K.Warner,14,2009-09-13,K.Warner,,,ARI,False
2009,ATL,M.Ryan,13,2009-09-13,M.Ryan,ATL,2008.0,ATL,True
2009,BAL,J.Flacco,16,2009-09-13,J.Flacco,BAL,2008.0,BAL,True
2009,BUF,R.Fitzpatrick,9,2009-10-18,R.Fitzpatrick,LAR,2005.0,BUF,False
2009,CAR,J.Delhomme,11,2009-09-13,J.Delhomme,,,CAR,False
2009,CHI,J.Cutler,16,2009-09-13,J.Cutler,DEN,2006.0,CHI,False
2009,CIN,C.Palmer,15,2009-09-13,C.Palmer,CIN,2003.0,CIN,True
2009,CLE,B.Quinn,8,2009-09-13,B.Quinn,CLE,2007.0,CLE,True
2009,DAL,T.Romo,16,2009-09-13,T.Romo,,,DAL,False
2009,DEN,K.Orton,16,2009-09-13,K.Orton,CHI,2005.0,DEN,False
2009,DET,M.Stafford,10,2009-09-13,M.Stafford,DET,2009.0,DET,True
2009,GB,A.Rodgers,16,2009-09-13,A.Rodgers,GB,2005.0,GB,True
2009,HOU,M.Schaub,16,2009-09-13,M.Schaub,ATL,2004.0,HOU,False
2009,IND,P.Manning,15,2009-09-13,P.Manning,IND,1998.0,IND,True
2009,JAX,D.Garrard,16,2009-09-13,D.Garrard,JAX,2002.0,JAX,True
2009,KC,M.Cassel,15,2009-09-20,M.Cassel,NE,2005.0,KC,False
2009,LA,M.Bulger,7,2009-09-13,M.Bulger,NO,2000.0,LAR,False
2009,LAC,P.Rivers,15,2009-09-14,P.Rivers,NYG,2004.0,LAC,False
2009,LV,J.Russell,9,2009-09-14,J.Russell,LV,2007.0,LV,True
2009,MIA,C.Henne,14,2009-09-27,C.Henne,MIA,2008.0,MIA,True
2009,MIN,B.Favre,16,2009-09-13,B.Favre,ATL,1991.0,MIN,False
2009,NE,T.Brady,16,2009-09-14,T.Brady,NE,2000.0,NE,True
2009,NO,D.Brees,15,2009-09-13,D.Brees,LAC,2001.0,NO,False
2009,NYG,E.Manning,15,2009-09-13,E.Manning,LAC,2004.0,NYG,False
2009,NYJ,M.Sanchez,15,2009-09-13,M.Sanchez,NYJ,2009.0,NYJ,True
2009,PHI,D.McNabb,14,2009-09-13,D.McNabb,PHI,1999.0,PHI,True
2009,PIT,B.Roethlisberger,15,2009-09-10,B.Roethlisberger,PIT,2004.0,PIT,True
2009,SEA,M.Hasselbeck,13,2009-09-13,M.Hasselbeck,GB,1998.0,SEA,False
2009,SF,A.Smith,11,2009-10-25,A.Smith,SF,2005.0,SF,True
2009,TB,J.Freeman,9,2009-11-08,J.Freeman,TB,2009.0,TB,True
2009,TEN,V.Young,9,2009-11-01,V.Young,TEN,2006.0,TEN,True
2009,WAS,J.Campbell,16,2009-09-13,J.Campbell,WAS,2005.0,WAS,True
2010,ARI,D.Anderson,9,2010-09-12,D.Anderson,BAL,2005.0,ARI,False
2010,ATL,M.Ryan,15,2010-09-19,M.Ryan,ATL,2008.0,ATL,True
2010,BAL,J.Flacco,16,2010-09-13,J.Flacco,BAL,2008.0,BAL,True
2010,BUF,R.Fitzpatrick,13,2010-09-26,R.Fitzpatrick,LAR,2005.0,BUF,False
2010,CAR,J.Clausen,11,2010-09-26,J.Clausen,,,CAR,False
2010,CHI,J.Cutler,15,2010-09-12,J.Cutler,DEN,2006.0,CHI,False
